"code","description","season_start","season_end","time_max_parking","time_start","time_end","time_duration","lun","mar","mer","jeu","ven","sam","dim","daily","special_days","restrict_typ"
"SB-KA-A+F","\P 16h-18h30 LUN. MER. 1 AVRIL AU 1 DEC",04-01,12-01,,16,"18.5","2.5",1,,1,,,,,,,
"SB-LA","\P 08h-09h LUN. MER. 1 MARS AU 1 DEC.",,,,8,9,1,1,,1,,,,,,,
"SB-LA-A","\P 08h-09h LUN. MER. 1 AVRIL AU 1 DEC.",,,,8,9,1,1,,1,,,,,,,
"SB-LA-A+F","\P 08h-09h LUN. MER. 1 AVRIL AU 1 DEC.",04-01,12-01,,8,9,1,1,,1,,,,,,,
"SB-LB-A","\P 08h30-09h30 LUN. MER. 1 AVRIL AU 1 DEC.",04-01,12-01,,"8.5","9.5",1,1,,1,,,,,,,
"SB-LB-A+F","\P 08h30-09h30 LUN. MER. 1 AVRIL AU 1 DEC.",04-01,12-01,,"8.5","9.5",1,1,,1,,,,,,,
"SB-LC","\P 09h-10h LUN. MER. 1 MARS AU 1 DEC.",03-01,12-01,,9,10,1,1,,1,,,,,,,
"SB-LC-A","\P 09h-10h LUN. MER. 1 AVRIL AU 1 DEC.",04-01,12-01,,9,10,1,1,,1,,,,,,,
"SB-LD","\P 09h30-10h30 LUN. MER. 1 MARS AU 1 DEC.",03-01,12-01,,"9.5","10.5",1,1,,1,,,,,,,
"SB-LE-A","\P 10h-11h LUN. MER. 1 AVRIL AU 1 DEC.",04-01,12-01,,10,11,1,1,,1,,,,,,,
"SB-LF","\P 10h30-11h30 LUN. MER. 1 MARS AU 1 DEC.",03-01,12-01,,"10.5","11.5",1,1,,1,,,,,,,
"SB-LF-A","\P 10h30-11h30 LUN. MER. 1 AVRIL AU 1 DEC.",04-01,12-01,,"10.5","11.5",1,1,,1,,,,,,,
"SB-LH","\P 11h30-12h30 LUN. MER. 1 MARS AU 1 DEC.",03-01,12-01,,"11.5","12.5",1,1,,1,,,,,,,
"SB-LI","\P 19h-20h LUN. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,19,20,1,1,,,1,,,,,,
"SB-LI-A","\P 19h-20h LUN. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,19,20,1,1,,,1,,,,,,
"SB-LJ","\P 12h-13h LUN. MER. 1 MARS AU 1 DEC.",03-01,12-01,,12,13,1,1,,1,,,,,,,
"SB-LJ-A","\P 12h-13h LUN. MER. 1 AVRIL AU 1 DEC.",04-01,12-01,,12,13,1,1,,1,,,,,,,
"PP-AA","HORAIRE DE STATIONNEMENT TARIFE (PARCOFLEX)",,,,0,24,24,,,,,,,,1,,"paid"
"SB-LK","\P 12h30-13h30 LUN. MER. 1 MARS AU 1 DEC.",03-01,12-01,,"12.5","13.5",1,1,,1,,,,,,,
"SB-LK-A","\P 12h30-13h30 LUN. MER. 1 AVRIL AU 1 DEC.",04-01,12-01,,"12.5","13.5",1,1,,1,,,,,,,
"SB-LK-A+F","\P 12h30-13h30 LUN. MER. 1 AVRIL AU 1 DEC.",04-01,12-01,,"12.5","13.5",1,1,,1,,,,,,,
"SB-LL","\P 07h-08h LUN. MER. 1 MARS AU 1 DEC.",03-01,12-01,,7,8,1,1,,1,,,,,,,
