name,operator,address,description,lun_normal,mar_normal,mer_normal,jeu_normal,ven_normal,sam_normal,dim_normal,hourly_normal,daily_normal,max_normal,lun_special,mar_special,mer_special,jeu_special,ven_special,sam_special,dim_special,hourly_special,daily_special,max_special,lun_free,mar_free,mer_free,jeu_free,ven_free,sam_free,dim_free,indoor,handicap,card,valet,lat,long,capacity,street_view_lat,street_view_long,street_view_head,active
St François Xavier,Vinci,"420, rue Saint-François-Xavier",,"0,24","0,24","0,24","0,24","0,24",,,,17,,,,,,,"0,24","0,24",,15,,,,,,,,,FALSE,FALSE,TRUE,FALSE,45.502849,-73.555746,120,45.502849,-73.555746,0,TRUE
St Paul,Vinci,"715, rue William",,"0,24","0,24","0,24","0,24","0,24",,,,13,,,,,,,"0,24","0,24",,10,,,,,,,,,FALSE,FALSE,TRUE,FALSE,45.498893,-73.557393,155,45.498893,-73.557393,0,TRUE
St Sacrement / Nicholas,Vinci,"230, rue du Saint-Sacrement",,"0,24","0,24","0,24","0,24","0,24",,,,17,,,,,,,"0,24","0,24",,15,,,,,,,,,FALSE,FALSE,TRUE,FALSE,45.502646,-73.556396,100,45.502646,-73.556396,0,TRUE
Édifice SunLife,Vinci,"1155, rue Metcalfe",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",9,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,45.500523,-73.570244,195,45.500523,-73.570244,0,TRUE
Université de Montréal,Vinci,"3200, rue Jean-Brillant",,"0,24","0,24","0,24","0,24","0,24",,,6,14,,,,,,,"0,24","0,24",6,12,,,,,,,,,FALSE,TRUE,TRUE,FALSE,45.500055,-73.617483,2800,45.500055,-73.617483,0,TRUE
Youville,Vinci,"304, rue Saint-Paul Ouest",,"0,24","0,24","0,24","0,24","0,24",,,,17,,,,,,,"0,24","0,24",,15,,,,,,,,,FALSE,FALSE,FALSE,FALSE,45.501503,-73.555857,30,45.501503,-73.555857,0,TRUE
Centre de réadaptation Marie Enfant,Vinci,"5200, rue Bélanger Est",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",7,26,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,45.576274,-73.577064,46,45.576274,-73.577064,0,TRUE
Gare Centrale South Plaza,Vinci,"895, rue de la Gauchetière Ouest",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",13.5,25,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,45.499693,-73.566374,105,45.499693,-73.566374,0,TRUE
McGill University Health Centre,Vinci,"757, avenue des Pins",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",17,21,,,,,,,,,,,,,,,,,,,FALSE,TRUE,TRUE,TRUE,45.507826,-73.580607,3188,45.507826,-73.580607,0,TRUE
Queen Elizabeth - Reine Elizabeth (Garage),Vinci,"900, boulevard René-Lévesque Ouest",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",15,29,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,45.49976,-73.567651,270,45.49976,-73.567651,0,TRUE
Clinique Saint-Louis,Vinci,"3165, chemin Saint-Louis",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",4,12,,,,,,,,,,,,,,,,,,,FALSE,TRUE,TRUE,FALSE,46.756229,-71.295392,160,46.756229,-71.295392,0,TRUE
Château St-Ambroise,Vinci,"4000, rue St-Ambroise",,"0,24","0,24","0,24","0,24","0,24",,,2,12,,,,,,,"0,24","0,24",2,5,,,,,,,,,FALSE,TRUE,TRUE,FALSE,45.475978,-73.579539,376,45.475978,-73.579539,0,TRUE
Caisse Desjardins de Sillery,Vinci,"1444, avenue Maguire",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",4.5,11,,,,,,,,,,,,,,,,,,,TRUE,FALSE,TRUE,FALSE,46.780269,-71.249748,56,46.780269,-71.249748,0,TRUE
